District,State,Literacy_Rate_pct,Sex_Ratio_Total,Birth_Registration_pct,Electricity_Access_pct,Improved_DrinkingWater_pct,Improved_Sanitation_pct,Clean_Fuel_Cooking_pct,Iodized_Salt_Use_pct,Health_Insurance_Coverage_pct,Women_Literate_pct,Child_Marriage_pct,Teenage_Pregnancy_pct,Hygienic_Menstrual_Protection_pct,Higher_Order_Births_pct,ANC_First_Trimester_pct,ANC_4plus_Visits_pct,Neonatal_Tetanus_Protection_pct,Iron_Folic_100days_pct,Iron_Folic_180days_pct,MCP_Card_Registered_pct,Postnatal_Care_Mother_pct,OOP_Expenditure_Public_Delivery_Rs,Institutional_Births_pct,Institutional_Births_Public_pct,Home_Birth_Skilled_Personnel_pct,Births_Skilled_Personnel_pct,Caesarean_Section_pct,Caesarean_Private_pct,Caesarean_Public_pct,Home_Birth_Facility_Checkup_24hr_pct,Postnatal_Care_Child_pct,Fully_Vaccinated_Card_Recall_pct,Fully_Vaccinated_Card_Only_pct,VitaminA_6to35mo_pct,Vaccinated_Public_Facility_pct,Vaccinated_Private_Facility_pct,ARI_Prevalence_pct,ARI_Fever_Facility_Visit_pct,Breastfed_Within_1hr_pct,Exclusive_Breastfed_6mo_pct,Solid_Food_6to8mo_pct,Adequate_Diet_Breastfed_6to23mo_pct,Adequate_Diet_NonBreastfed_6to23mo_pct,Adequate_Diet_Total_6to23mo_pct,Child_Stunting_pct,Child_Wasting_pct,Child_Severe_Wasting_pct,Child_Underweight_pct,Child_Overweight_pct,Child_Anaemia_6to59mo_pct,Women_NonPregnant_Anaemia_pct,Women_Pregnant_Anaemia_pct,Women_All_Anaemia_pct,Women_15to19_Anaemia_pct,Women_BMI_Below_Normal_pct,Women_HighBloodSugar_Mild_pct,Women_HighBloodSugar_VHigh_pct,Women_Diabetes_or_Medicine_pct,Men_HighBloodSugar_Mild_pct,Men_HighBloodSugar_VHigh_pct,Men_Diabetes_or_Medicine_pct,Women_Hypertension_Mild_pct,Men_Hypertension_Mild_pct,Women_Cervical_Cancer_Screening_pct,Women_Breast_Exam_pct,Women_Oral_Exam_pct
Sangrur,Punjab,67.99,922,47.91,67.88,61.13,29,38.03,99,45.7,43.45,54.31,50,56.31,55,38.24,46.39,45.51,55.96,44.57,34.59,39.15,1064,61.87,37.98,34.96,59.42,29.2,9.71,11.1,44.73,27.39,48.84,41.52,65.35,53.42,46.79,11.69,57.26,53.29,52.03,89.69,12.95,20.31,30.77,70,29.23,9.75,60,2.97,41.38,74.26,62.11,68.98,72.64,55,4.66,5.43,5.53,13.08,6.71,14.49,6.85,20.68,11.06,5.25,20.18
Balangir,Orissa,64.72,1019,45.24,64.38,44.37,45.76,51.56,83.17,28.96,41.24,55.79,50,50.4,55,31.03,29.65,67.19,34.31,22.02,51.69,42.31,2230,59.05,20.89,25.36,54.43,24.59,15.66,8.8,47.09,59.06,47.66,41.85,51.93,49.2,52.06,12.22,43.03,44.52,46.43,72.45,21.62,43.39,34.25,64.5,34.66,12.93,60,3.45,57.41,61.58,36.77,47.98,48.84,55,8.78,0.1,13.39,5.53,1.06,20.03,9.98,22.5,9.28,20.64,3.68
Udham Singh Nagar,Uttarakhand,73.1,958,65.05,76.1,65.38,56.75,74.01,62.69,22.06,63.71,60.8,50,49.3,50.15,42.22,48.98,44.29,33.75,14.13,44.69,55.05,919,54.78,31.08,22.79,53.25,2,1,4.32,28.98,58.47,58.24,35.04,63.1,95,5,5.44,29.61,54.95,79.44,80,40.07,37.65,16.63,70,26.26,9.95,60,4.33,59.04,78.09,75.53,75.76,83.49,55,2.28,11.3,15.14,9.61,1.84,12.67,11.04,9.01,8.29,9.83,16.66
Nandurbar,Maharashtra,64.38,924,57.47,53.71,48.53,63.63,46.69,76.46,66.8,56.7,62.16,50,58.98,55,45.95,52.93,56.13,41.04,34.84,49.83,26.67,2289,54.24,37.07,22.71,63.79,3.95,1,1,36.1,41.99,39.86,23.15,67.44,37.59,71.44,15.76,37.97,32.01,68.37,82.47,31.33,34.42,13.3,70,30.39,4.84,60,7.27,43.43,60.36,51.93,53.45,65.67,48.45,0,4.71,15.94,3.49,5.34,13.77,3.95,20.09,8.15,3.28,11.02
Gautam Buddha Nagar,Uttar Pradesh,80.12,931,79.11,70.5,60.7,51.27,57.3,70.18,33.58,65.69,49.05,44.73,53.96,55,54.14,56.54,57.1,32.18,21.01,65.16,51.25,3295,68.39,33.86,25.58,54.61,29.82,6.86,5.56,24.62,29.29,80.56,68.97,62,17.85,80,7.73,16.73,49.98,53.94,55.61,23.15,3,24.46,58.72,3,1,60,4.3,61.1,35.21,62.83,48.89,54.98,55,10.88,8.43,11.76,6.93,6.53,5.67,8.58,13.84,16.73,15.5,7.12
Bhiwani,Haryana,75.21,937,67.91,56.21,55.73,55.89,42.09,51.67,45.88,65.52,56.7,50,52.97,55,56.82,56.31,53.28,40.53,32.01,54.18,53.48,1882,66.1,46.08,26.07,52.06,15.53,17.06,6.87,15.29,46.18,55.97,34.57,31.1,75.23,13.36,9.69,38.3,54.15,86.41,59.4,25.2,46.89,28.17,69.13,37.72,13.43,60,1.99,73.37,47.17,75.17,62.51,69.44,55,5.77,7.13,5.49,4.94,9.84,7.91,13.97,9.84,17.92,16.81,14
Dausa,Rajasthan,68.16,967,41.09,58.6,48.64,29.67,33.77,97.19,64.12,51.62,49.19,50,47.92,55,47.55,42.96,61.07,38.98,14.84,35.72,59.43,1717,60.25,27.16,46.35,57.08,19.64,10.99,4.96,26.05,40.87,67.93,50.49,61.44,55.38,42.58,8.01,34.69,58.09,72.64,62.48,21.17,32.58,30.16,69.86,18.17,12.94,56.48,2.58,57.96,51.17,57.86,53.71,61.34,55,11.03,0,2.72,14.2,4.51,5.91,5.1,20.39,6.44,20.25,10.4
Kaimur,Bihar,69.34,971,67.52,69.38,81.32,24.62,29.47,86.44,35.31,63.55,59.45,50,39.19,55,41,30.37,64.7,39.33,31.91,39.57,64.98,3998,79.64,48.61,17.66,48.83,29.39,15.07,13.42,36.33,44.29,32.98,41.05,95,50.37,51.9,7.44,23.3,34.81,40.5,71.25,33.86,27.73,15.43,70,37.85,15.82,54.54,1.2,39.31,54.04,37.03,43.21,47.19,55,8.5,6.23,0,2.68,5.53,12.98,0,5.76,8.08,15.09,15.22
Janjgir Champa,Chhattisgarh,73.07,927,49.82,62.5,75.81,59.6,26.45,84.4,44.08,57.18,57.66,50,51.92,53.75,34.99,34.13,50.1,42.6,34.11,43.86,44.68,3559,52.7,18.55,18.03,71.89,17.94,13.3,6.31,8.45,59.27,45.17,41.72,62.82,95,6.93,9.11,33.28,39.47,14.31,81.34,35.32,18.53,24.99,64.15,32.85,10.75,54.83,0.52,76.59,53.59,69.51,61.26,62.73,55,8.62,3.95,14.17,7.35,5.29,8.41,12.65,4.09,14.23,19.24,13.6
Pudukkottai,Tamil Nadu,77.19,949,59.05,73.95,84.38,53.98,31.01,79.98,44.67,61.07,38.66,46,68,48.57,37.8,50.15,63.17,33.58,22.47,35.08,59.98,1512,73.45,48.65,5.16,56.19,18.37,6.73,9.05,27.37,40.34,65.69,49.95,60.74,75.14,23.98,3.26,29.11,54.79,56.92,93.05,32.1,21.14,45.81,59.48,25.18,8.76,60,0,53.12,49.93,77.14,64.73,66.77,55,6.65,3.81,9.97,12.48,10.38,8.1,5.29,10.62,13.08,20.09,12.36
Nagapattinam,Tamil Nadu,83.59,1036,70.19,73.9,57.1,70.3,24.9,61.42,58.67,63.93,59.8,50,62.96,55,35.44,61.47,62.97,38.07,16.39,69.79,18.11,2325,80.52,51.29,19.38,83.51,9.31,1,1,36.58,70.55,58.26,50.42,89.2,60.95,37.34,1,28.92,68.73,79.9,77.21,2,17.53,12.66,59.29,16.26,7.78,60,2.08,54.71,58.28,18.86,38.95,45.28,55,6.65,3.92,6.91,0,9.03,14.52,6.8,11.63,13.21,20.88,11.31
Ratnagiri,Maharashtra,82.18,1019,86.59,76.23,69.13,43.79,43.17,72.2,56.81,70.33,41.88,50,57.84,52.93,45.25,82.74,58.49,37.12,21.9,58.63,67.94,2496,73.8,44.34,42.35,78.13,21.7,21.66,8.17,56.5,50.08,47.32,35.04,43.09,49.26,40.74,7.15,47.61,54.84,65.99,77.32,25.16,3,26.65,54.91,20.27,6.97,55.26,0.19,90.22,77.56,48.37,69.65,74.29,48.95,10.54,7.16,0,8.73,6.15,19.35,10.65,3.14,19.4,10.77,17
Kaushambi,Uttar Pradesh,61.28,967,82.06,47.12,41.9,48.1,6.5,88.1,40.6,43.72,64.14,50,41.28,55,42.07,48.55,46.87,16.2,14.61,31.54,28.06,2383,46.89,22.64,31.81,61.97,23.87,24.56,5.56,29.37,30.22,26.64,28.13,75.79,70.02,30.41,4.48,43.14,31.48,83.33,93.9,22.76,18.55,33,70,3.72,1,44.02,3.19,70.95,58.21,54.66,54.47,53.26,55,9.26,8.94,3.08,7.44,7.38,10.56,10.39,15.94,11.95,14.81,7.62
Haveri,Karnataka,77.4,952,69.12,70.26,58.35,72.87,44.3,65.39,46.27,68.6,65.2,50,57.49,53.29,33.86,32.39,48.43,47.8,30.56,68.74,43.55,3833,79.11,32.29,13.48,80.89,12.22,4.98,1,12.57,71.36,66.37,33.41,47.4,30.81,67.5,10.19,43.63,38.93,44.23,61.92,36.9,7.61,15.39,70,26.45,8.92,53.35,1.98,52.86,64.43,45.78,54.65,62.62,55,3.64,0.42,0.17,4.28,6.05,3.13,15.11,8.32,5.82,8.55,6.01
Hoshiarpur,Punjab,84.59,955,66.61,55.19,60.8,63.41,45.21,47.62,37.56,57.84,58.5,50,66.71,51.24,46.08,41.55,56.92,58.03,39.63,52.2,56.05,2279,54.37,26.78,20.36,72.55,8.78,11.04,1,31.23,56.48,69.34,50.89,79.73,52.71,48.54,9.74,35.27,54.41,52.89,82.84,27.87,29.15,34.34,62.34,3,2.64,59.69,0.83,47.16,22.09,30.06,28.41,26.73,49.52,7.97,4.23,16.21,11.86,8.22,11.2,8.79,5.14,11.23,26.89,5.11
Etawah,Uttar Pradesh,78.41,975,69.15,69.26,78.36,57.65,44.25,75.27,15.45,52.86,53.3,50,60.98,55,35,74.39,50.16,53.76,40.35,57.39,45.2,2414,61.18,42.53,4.44,58.54,44.26,30.55,13.31,24.8,37.67,61.05,29.1,73.96,61.33,41.13,8.05,29.98,53.86,53.33,73.67,31.68,13.89,10.93,70,16.61,2.5,60,0,79.49,56.89,35.87,44.3,42.01,36.44,3.52,8.21,12.18,13.86,7.59,11.96,10.34,16.9,5.81,19.17,6.82
Sant Ravidas Nagar,Uttar Pradesh,68.97,909,65.6,50.66,55.87,48.36,28.55,76.3,50.15,59.12,54.99,50,44.96,55,40.45,38.81,58.84,36.34,16.62,40.03,43.74,2820,68,38.44,8.37,57.8,17.07,4.03,10.95,44.94,38.94,46.98,36.53,49.75,65.84,40.37,13.93,29.08,43.82,59.34,74.22,19.06,40.22,34.61,70,31.35,9.28,60,2.3,78.46,71.3,20.41,51.64,50.71,48.97,4.75,3.38,2.47,9.63,4.09,15.16,1.54,10.42,11.52,10.67,13.56
Kalahandi,Orissa,59.22,940,46.21,61.74,64.18,25.75,76.68,79.63,82.84,44.63,70,50,44.7,55,25.98,36.1,42.54,24.88,5.69,21.27,54.58,3271,47.38,13.63,21.79,45.8,11.16,2.61,1.62,28.92,40.19,34.21,23.77,52.68,59.44,35.78,7.98,27.23,30.86,68.81,61.78,36.27,6.7,27.52,68.24,24.77,7.13,57.57,0,57.4,73.7,65.28,69.5,74.2,55,8.27,4.61,17.18,5.81,5.3,9.38,13.14,19.35,4.02,13.72,7.43
Betul,Madhya Pradesh,68.9,883,74.63,67.45,65.83,61.79,56.74,86.74,27.33,49.93,65.41,50,53.03,55,29.02,29.81,36.81,48.38,28.73,34.59,36.73,3043,71.34,30.24,14.07,52.89,25.07,24.05,3.69,5,36.08,52.26,50.08,77.56,49.52,44.01,2.17,23.47,57.02,84.38,44.09,39.81,46.73,9.97,70,6.76,1,60,4.41,46.11,72.18,71.98,73.76,81.34,49.19,3.46,4.65,5.39,1.21,5.49,15.41,6.54,15.76,3.6,8.73,7.25
Mahamaya Nagar,Uttar Pradesh,71.59,966,60.99,67.7,84.57,44,19.29,85.65,29.54,62.97,50.86,50,40.04,55,31.21,61.74,44.3,48.46,26.44,45.63,29.91,2684,48.76,36.84,7.46,62.06,17.49,4.23,6.65,80,40.98,38.59,34.64,20.89,78.57,18.56,7.11,47.71,43.73,88.17,70.17,5.48,41.71,35.25,53.94,8.28,1,54.98,3.51,70.78,59.55,71.75,65.71,70.01,52.17,6.59,10.34,10.75,7.72,5.46,14.64,26.16,11.81,2.61,6.54,9
Dewas,Madhya Pradesh,69.35,976,61.99,73.06,45.28,53.59,40.1,81.11,27.59,49.09,50.44,50,50.23,55,44.18,47.61,20,42.28,31.65,57.53,63.37,797,50.05,31.43,25.88,56.45,7.14,16.05,2.62,37.56,28.34,44.12,28.88,49.16,32.27,64.05,12.68,31.7,51.48,85,70.24,9.45,15.07,16.25,66.81,14.22,8.38,60,2.55,73.91,61.21,49.53,58.43,59.12,53.37,7.52,6.25,10.76,6.39,3.48,9.51,8.93,19.59,22.41,18.25,13.72
Bharuch,Gujarat,81.51,931,72.79,66.72,80.57,41.43,34.79,92.35,59.49,62.68,30.37,50,35.44,55,43.67,39.61,53.04,66.69,31.42,60.52,55.23,1761,65.03,25.89,19.01,63.27,22.83,11.98,6.02,36.61,24.61,74.97,52.98,70.41,57,38.87,1,48.41,33.95,67.04,56.37,34.15,28.68,25.16,49.79,19.63,10.96,52.18,5.9,59.41,44.91,54.35,46.44,45.53,55,4.64,10.21,8.53,6.63,6.01,15.1,12.12,15.52,7.84,11.4,14.76
Rajgarh,Madhya Pradesh,61.21,1013,55.12,67.32,66.25,31.05,16.51,59.77,53.97,58.22,64.81,50,47.67,55,28.52,24.8,45.16,35.29,29.34,44.25,59.79,2937,55.37,16.33,2,50.07,9.47,14.06,2.67,7.25,34.94,26.46,22.89,51.84,52.68,54.54,7.62,13.91,54.56,48.84,63.55,22.93,18.04,34.56,68.52,26.01,11.22,60,3.02,48.45,67.68,67.12,72.12,78.81,51.01,8.88,9.23,7.48,5.01,3.47,15.65,13.19,12.88,9.44,11.34,9.83
Chittaurgarh,Rajasthan,61.71,901,59.67,62.06,45.38,57.55,11.92,84.05,41.83,59.77,62.15,50,49.8,55,37.08,40.71,43.75,32.77,30.49,23.1,47.39,2425,50.68,22.87,2,56.85,33.76,20.42,15.72,8.64,35.62,57.07,38.22,60.7,80.21,20.53,10.3,22.66,35.92,59.07,51.77,37.34,38.1,15.43,57.63,23.83,10.18,60,3.77,65.37,44.99,46.27,46.33,48.28,53.73,4.24,3.32,9.17,4.66,3.24,5.54,9.56,16.07,11.41,13.37,6.86
Rajnandgaon,Chhattisgarh,75.96,891,55.8,66.71,74.45,49.7,47.06,85.52,26.64,72.15,65.79,50,60.65,55,36.8,46.11,74.18,38.18,22.91,65.87,29.69,2944,60.64,18.54,13.16,72.22,22.95,18.92,10.72,33.34,48.1,74.71,55.77,17.18,53.74,56.12,18.61,47.22,62.63,66.79,51.9,27.9,55.2,20.66,70,10.53,2.2,59.67,4.37,71.93,65.21,34.81,51.99,55.95,55,9.77,4.9,7.6,7.12,4.64,15.8,12.18,16.27,14.27,14.28,9.83
Kolar,Karnataka,74.39,959,55.21,74.9,66.71,66.61,29.41,63.13,46.85,55.97,58.96,50,48.12,53.91,54.43,54.62,59.1,23.46,14.56,54.31,52.38,3898,74.59,39.78,2,50.41,15.23,16.87,7.67,41.05,34,65.71,59.82,40.91,69.88,30.1,12.83,46.73,54.6,57.43,57.79,33.31,46.53,40.51,59.65,23.95,3.34,60,1.97,57.69,55.62,40.87,46.03,47.77,50.11,6.52,10.16,10.25,2.07,5.81,10.4,21.28,6.43,16.49,9.74,10.63
Jammu,Jammu and Kashmir,83.45,992,56.59,67.36,66.97,57.63,59.59,59.97,13.71,75.78,63.27,47.7,61.51,47.16,34.21,56.63,64.55,54.66,26.66,57.22,38.26,1141,83.04,65.29,2,68.51,19.09,19.36,1.95,47.64,29.81,65.68,42.63,71.59,67.99,26.15,8.53,25.62,38.27,38.55,45.07,16.03,20.37,2.16,65.53,24.8,10.35,54.47,1.98,68.93,55.22,52.81,55.03,58.98,55,6.69,0.57,10.44,11.15,8.68,9.76,6.23,27.15,14.77,16.99,8.94
Kamrup,Assam,75.55,1017,66.06,62.22,55.87,34.47,55.24,69.05,47.87,51.63,47.7,50,67.12,55,39.31,42.16,37.67,41.51,20.56,64.21,45.42,3224,60.9,20.72,33.55,63.09,27.03,14.65,21.01,39.27,29.97,50.99,34.66,42.98,28.97,66.99,10.08,40.37,51.45,46.68,56.25,29.08,31.6,44.02,61.62,22.91,10.06,49.68,3.08,70.41,70.02,38.58,51.4,55.53,53.67,2.4,6.28,6.38,3.95,7.13,10.46,0,13.41,11.33,15.85,10.89
Gurgaon,Haryana,84.7,932,76.31,71.97,62.86,68.21,66.43,70.06,62.43,59.74,60.56,50,73.43,55,29.73,44.29,56.41,53.47,28.82,71.76,49.91,1903,58.32,30.59,18.83,62.53,19.86,8.62,11.16,13.65,59.25,53.83,37.91,31.95,60.82,44.3,1,44.53,69.68,70.62,75.71,29.11,51.31,9.43,42.9,38.83,13.51,60,0.31,82.18,63.42,57.57,64.02,76.92,50.17,5.06,6.31,14.51,7.45,8.33,17.21,3.49,13.53,16.34,21.3,8.92
Amreli,Gujarat,74.25,993,65.27,63.12,83.76,46.08,26.76,87.04,19.98,39.31,50.16,50,51.68,55,36.68,42.63,48.4,64.23,50.08,63.52,25.14,3042,45.85,35.71,16.81,62.15,39.22,25.09,15.8,5,32.84,28.86,46.91,79.23,30.63,63.7,3.8,27.69,42.43,50.56,86.84,16.73,37.34,18.61,59,24.81,6.7,60,6.57,58.69,59.24,28.32,39.91,43.52,55,6.78,3.17,4.81,5.7,10.32,17.19,14.99,2.46,14.41,27.07,12.6
Shajapur,Madhya Pradesh,69.09,948,73.56,54.79,59.92,55.35,43.58,70.63,14.35,67.11,66.32,50,49.76,53.94,17.84,34.85,42.05,34.86,20.34,45.89,31.7,2163,60.64,39.34,17.74,59.91,29.36,12.58,5.62,33.2,32.69,53.44,44.95,68.31,68.32,34.47,10.6,38.3,62.67,55.44,95,37.02,44.14,30.39,61.21,26.74,6.88,60,3.32,47.91,47.53,46.12,47.29,48.1,40.92,10.1,2.86,10.95,9.6,3.24,13.38,7.6,13.77,12.69,3.94,12.28
Kangra,Himachal Pradesh,85.67,943,69.2,85.66,78.51,60.22,55.89,67.72,76.59,60.91,34.01,50,71.08,54.86,56.07,49.84,52.69,19.78,5,49.93,77.86,4114,78.07,41.75,6.35,76.97,22.88,16.07,11.8,25.39,43.37,57.29,52.02,36.23,48.85,49.37,8.64,22.02,57.41,53.59,59,2.26,39.12,34.24,57.05,34.01,14.11,51.3,2.6,63.99,79.03,56.49,66.59,70.62,53.56,4.71,3.27,7.3,9.38,7.13,12.35,21.66,14.03,18.63,13.14,17.32
Dharmapuri,Tamil Nadu,68.54,985,63.09,59.87,51.64,32.55,29.01,70.66,32.76,52.25,61.23,50,32.97,55,46.9,41.32,31.47,45.04,29.07,57.87,43.98,2317,58.76,31.15,24.93,58.88,8.63,1.51,1.02,12.27,30.27,44.32,39.39,60.77,83.36,11.99,9.15,22.66,59.25,38.94,83,27.49,31.07,30.58,70,25.8,10.57,60,7.17,90.31,59.99,52.12,51.37,50.14,55,10.08,6.11,4.66,9.03,7.25,10.48,13.64,6.1,9.21,14.82,11.32
Bhadrak,Orissa,82.78,976,56.17,76.97,61.01,59.59,33.09,91.42,67.72,58.08,30.49,50,54.72,53.63,54.94,38.89,46.05,48.39,35.64,44.3,47.56,1624,69.8,29.14,18.43,63.32,16.53,16.16,5.01,49.91,37.21,60.29,51.9,36.88,58.75,48.18,8.14,46.96,53.85,51.92,70.04,9.47,29.03,27.57,70,14.59,9.42,60,0.8,38.55,66.21,38.24,49.42,48.06,55,2.98,8.42,7.61,2.32,5.77,24.49,6.73,6.76,13.9,21.61,13.33
Karnal,Haryana,74.73,887,57.18,63.26,74.39,74.27,63.98,78.16,41.92,64.08,52.49,50,65.67,55,41.45,52.41,62.32,33.58,19.94,71.78,66.59,2578,57.08,29.25,10.91,79.62,22.79,11.96,1.25,6.64,30.65,56.85,46.43,54.95,48.14,48.92,7.98,36.74,47.39,46.76,61.44,12.73,13.05,21.77,60.79,28.94,9.16,55.24,6.07,30.3,56.21,61.76,60.33,68.35,50.84,7.34,6.22,5.7,6.23,7.68,7.58,6.11,7.6,6.82,16.68,7.87
Pashchimi Singhbhum,Jharkhand,58.63,1009,55.93,40.02,39.61,45.97,33.59,75.85,41.76,41.83,69.23,50,50.79,55,21.69,30.73,41.68,39.08,35.2,41.32,30.42,2492,55.08,32.24,12.71,56.47,9.77,1,1,46.11,49.05,39.62,32.64,61.52,83.6,12.26,8.41,30.6,59.76,42.55,71.03,36.83,19.28,45.74,60.6,15.79,5.45,60,4.63,63.38,44.59,54.2,46.71,50.26,55,3.97,0.23,12.29,13.41,5.26,8.76,7.77,11.23,9.33,17.34,8.6
Raigarh,Chhattisgarh,73.26,1005,68.44,67.82,58.47,50.71,48.5,76.68,53.77,46.83,50.83,50,54.97,55,30.69,33.85,47.55,51.06,36.86,40.67,42.86,3224,75.7,50.48,5.27,66.69,30.93,27.11,12.58,9.62,48.45,74.65,44.38,41.83,46.31,53.3,3.78,33.67,55.18,35.95,81.53,11.8,17.37,36.28,57.42,11.14,4.51,60,5.23,59.31,60.32,16.58,36.44,42.74,34.74,12.18,8.52,8.53,5.63,7.01,12.51,0,14.28,10,7.25,6.9
Deoghar,Jharkhand,64.85,925,50.7,44.98,57.49,56.15,21.58,93.5,27.32,53.66,50.59,50,30.34,55,54.03,34.69,47.1,26.07,7.25,33.08,50.8,2603,37.39,15.6,15.13,63.16,8.26,6.29,6.92,37.41,50.64,59.43,47.44,72.85,78.1,19.36,7.08,38.68,41.83,53.19,57.53,11.29,25.08,41.11,70,11.82,3.08,59.18,2.65,61.87,46.06,57.29,52.8,48.94,51.94,11.45,7.58,15.85,11.2,0.75,6.47,11.39,11.66,16.95,11.38,2.91
Bargarh,Orissa,74.62,966,60.25,66.68,64.62,54.34,21.48,69.01,47.65,46.96,63.69,50,51.73,55,58.27,47.68,65.18,38.69,18.8,39.46,39.96,4428,62.81,33.03,17.12,65.38,11.63,7.71,6.81,51.81,58.43,66.8,49.23,75.95,70.42,40.65,3.02,43.36,52.82,66.13,57.18,31.96,31.39,21.94,61.82,28.85,14.06,60,3.11,61.32,61.57,43.24,55.15,54.01,55,7.14,3.26,4.24,6.96,5.01,16.24,13.47,14.82,6.12,22.23,10.13
Vidisha,Madhya Pradesh,70.53,970,42.72,53.9,59.05,51.47,28.78,93.79,37.37,48.25,56.65,50,43.47,54.94,40.26,43.31,50.89,57.99,36.6,50.77,33.36,2100,52.19,21.11,14.81,70.24,12.38,13.52,6.94,28.92,10.59,52.55,43.78,63.27,55.42,49.88,5.52,44.12,41.09,75.17,58.85,11.67,28.49,2,52.13,23.96,13.3,58.89,2.31,80.08,15,41.6,30.28,32.99,55,3.86,2.04,0,5.76,7.13,3.64,5.16,17.05,10.32,9.8,8.56
Karauli,Rajasthan,66.22,960,51.09,73.51,62,35.44,32.87,80.53,18.59,34.43,55.37,48.54,49.66,55,30.23,44.8,53.45,29.45,5,46.29,12.69,2110,44.36,26.2,20.66,56.74,25.44,20.89,8.64,65.42,40.54,57.56,42.6,66.28,37.95,59.1,12.78,34.32,45.88,29.91,55.6,37.22,33.02,39.24,62.86,27.49,7.68,60,4.99,64.36,48.99,36.72,42.72,41.56,55,0,1.28,10.97,7.75,8.09,7.43,2.24,16.26,9.3,0,12.38
Ratlam,Madhya Pradesh,66.78,928,63.99,66.48,65.34,49.08,19.1,76.07,51.75,40.37,60.35,50,38.65,55,53.15,50.85,39.94,39.19,26.2,34.39,28.83,1657,47.72,32.52,19.06,56.78,9.95,2.66,1.86,69.52,29.69,40.98,36.84,28.94,84.35,13.27,7.28,28.39,57.01,83.92,82.98,32.74,39.3,31.28,70,24,8.23,59.76,3.78,77.29,54.78,33.95,45.02,41.58,53.89,7.51,7.22,17.61,3.67,2.42,8.99,5.45,15.18,15.37,9.27,6.17
Sonipat,Haryana,79.12,923,70.09,71.95,73.77,65.74,42.32,99,39.73,63.68,70,50,45.13,54.42,35.18,63.13,50.24,13.07,5,51.82,36.12,2277,70.29,43.7,22.77,72.33,2,1,1.86,39.27,56.92,66.51,57.4,85.24,71.01,18.89,10.38,31.55,48.99,60.27,53.54,15.67,24.18,29.19,62.78,20.51,12.18,60,1.88,27.84,40.68,53.31,47.35,45.4,55,6.83,0,11.44,10.6,4.75,5.98,14.99,14.71,7.86,18.01,23.12
Tikamgarh,Madhya Pradesh,61.43,949,56.08,64.13,45.07,34.64,6.53,65.33,41.86,31.5,70,50,22.35,55,36.53,40.28,48.47,17.93,18.95,29.32,38.76,2408,55.46,21.14,31.32,64.83,28.88,13.21,13.39,44.74,24.89,46.33,11.45,56.17,48.1,52.59,8.46,18.12,33.9,34.71,56.19,36.76,40.33,20.19,69.66,21.54,9.59,60,1.97,57.06,60.46,58.74,56.49,58.03,55,9.43,7.3,4.29,3.58,1.81,16.2,14.02,14.74,11.08,11.93,7.29
Kendrapara,Orissa,85.15,997,69.36,70.71,67.51,73.85,29.29,73.76,20.8,55.53,60.54,50,71.82,55,63.06,38.26,79.27,49.47,36.94,65.5,43.76,2453,84.06,47.41,27.12,84.47,13.56,1.49,4.77,54.09,34.18,49.57,33.71,39.29,66.4,29.86,6.46,35.93,43.65,47.73,69.67,2,45.93,22.82,54.31,23.73,9.84,42.72,2.97,52.77,48.67,52.45,51.4,55.62,37.27,0.13,2.65,3.89,9.21,3.84,4.43,11.08,12.12,15.72,10.61,12.49
Uttara Kannada,Karnataka,84.06,972,68.12,79.46,81.59,57.92,55.5,63.21,76.83,66.43,53.92,50,54.84,55,36.2,47.21,73.94,61.77,41.1,58.3,76.33,2260,71.52,33.92,31.46,76.19,7.31,7.64,7.4,44.8,29.02,60.96,30.86,60.92,80.11,20.33,3.97,33.03,53.56,21.21,68.45,30.67,35.81,19.81,54.29,14.18,6.7,39.79,2.34,30.73,54.91,65.19,56.91,66.62,55,6.57,4.85,19.13,11.31,5.95,6.18,18.21,9.04,19.75,13.2,10.34
Kanshiram Nagar,Uttar Pradesh,61.02,935,44.16,56.32,63.61,33.84,40.67,89.43,62.53,42.52,65.05,50,44.29,55,43.51,24.56,50.49,19.17,6.09,38.93,23.92,1651,37.8,28.88,9.83,56,10.45,8.75,2.8,42.87,29.93,45.06,35.71,72.91,64.02,26.15,6.4,49.85,34.38,25.81,58.85,10.05,22.38,27.54,70,8.68,5.44,60,5.88,66.55,46.73,59.3,54.86,53.39,55,7.72,0,7.1,8.7,8.11,7.62,1.55,12.44,6.71,5.55,12.26
Tonk,Rajasthan,61.58,981,58.17,57.27,41.3,53.08,26.07,98.27,64.28,63.28,39.09,50,43.08,55,40.12,57.31,46.54,36.68,23.37,30.22,53.76,1407,50.44,26.45,13.9,57.91,35.17,26.66,8.39,25.57,44.85,76.75,55.16,68.25,66.29,33.58,8.73,18.3,28.38,85.99,90.25,18.72,43.25,13.37,70,15.12,7.22,60,4.62,63.5,69.58,17.89,44.14,42.34,55,2.39,0,3.93,4.72,7.71,15.21,8.96,16.92,4.55,6.25,8.38
